"GENE"	"TCGA_bladder"	"TCGA_prostate"	"TCGA_thyroid"
"313"	"NUDT17"	21.5054	29.2042	49.0922
"314"	"FAM138E"	0	0.3245	0
"315"	"MYPOP"	87.2162	120.3861	108.3274
"316"	"SLC35D1"	817.2043	582.1368	545.2886
"317"	"DOCK7"	779.5699	1165.5715	493.3563
"318"	"ZBTB2"	632.0191	425.7321	1147.378
"319"	"LGALS4"	818.9964	98.6453	8.9259
"320"	"KIAA1539"	1157.7061	390.0381	366.7715
"321"	"CCL3L1"	0	7.4114	106.9236
"322"	"SUV420H1"	993.4289	1364.809	1356.7299
"323"	"RAB6B"	89.0084	184.9598	323.3594
"324"	"LOC285593"	0.5974	2.5959	6.4915
"325"	"NR1H3"	954.5998	305.995	504.7165
"326"	"NCRNA00115"	34.6476	19.7939	31.6462
"327"	"SDS"	609.319	34.7205	172.4313
"328"	"NEK5"	0.5974	4.8674	2.0286
"329"	"PACSIN1"	16.129	41.2104	58.4238
"330"	"CTXN3"	0	2.2714	0
"331"	"MAST4"	5669.6535	1567.6158	378.5374
"332"	"MCOLN1"	343.4886	316.7032	349.7312
"333"	"MXD3"	145.6571	64.6483	188.9401
"334"	"CSF2RA"	221.0275	134.6637	203.6718
"335"	"LRP8"	25.0896	61.3288	1058.1195
"336"	"ALDH18A1"	1166.0693	1603.9588	1639.5172
"337"	"FLJ36000"	0	0	0
"338"	"MCM7"	629.6296	1202.4175	1925.8018
"339"	"P2RX7"	5.3763	128.8229	101.0244
"340"	"CDS1"	1064.5161	692.4637	1579.8763
"341"	"OR8K3"	0	0	0
"342"	"TNFRSF19"	92.5926	477.6507	239.7809
"343"	"C16orf68"	96.7742	191.1252	157.4196
"344"	"VWA5A"	1056.1529	1074.0651	634.5471
"345"	"TRAPPC6A"	448.0287	394.9055	660.919
"346"	"FAM151B"	4.779	18.1715	9.7373
"347"	"F10"	284.3489	393.283	65.321
"348"	"DDX52"	704.3011	530.2182	337.1539
